,"(384, 15, 36)","(656, 9, 24)","(656, 0, 8)","(656, 25, 40)","(656, 41, 56)","(768, 0, 54)","(1040, 39, 48)","(1040, 24, 32)","(1040, 0, 21)"
"(384, 15, 36)",1.0,-0.355085074990594,-0.30293203627574744,-0.28930708678795364,-0.34922593981454436,0.1740033631964099,0.03190852017339826,0.1688217154430099,0.5059430010420334
"(656, 9, 24)",-0.355085074990594,1.0,0.5502467683310931,0.44042225746690794,0.9409785906505497,0.09579640990356438,0.0013266167218257674,0.11401786117447037,-0.19349866747942465
"(656, 0, 8)",-0.30293203627574744,0.5502467683310931,1.0,0.867615278043437,0.6021573256414298,-0.18248159682871587,0.002826183296167494,-0.1681260572210691,-0.2823606086912549
"(656, 25, 40)",-0.28930708678795364,0.44042225746690794,0.867615278043437,1.0,0.4897203361119007,-0.248120016984887,-0.08539587804752677,-0.23478177482154486,-0.321241202043867
"(656, 41, 56)",-0.34922593981454436,0.9409785906505497,0.6021573256414298,0.4897203361119007,1.0,0.05421904729596404,0.02867778217488724,0.0720137344033545,-0.19947416147721483
"(768, 0, 54)",0.1740033631964099,0.09579640990356438,-0.18248159682871587,-0.248120016984887,0.05421904729596404,1.0,0.26208364735854783,0.9990204051410632,-0.1046011921741055
"(1040, 39, 48)",0.03190852017339826,0.0013266167218257674,0.002826183296167494,-0.08539587804752677,0.02867778217488724,0.26208364735854783,1.0,0.2551466515714834,-0.019444060372758715
"(1040, 24, 32)",0.1688217154430099,0.11401786117447037,-0.1681260572210691,-0.23478177482154486,0.0720137344033545,0.9990204051410632,0.2551466515714834,1.0,-0.12911749687954988
"(1040, 0, 21)",0.5059430010420334,-0.19349866747942465,-0.2823606086912549,-0.321241202043867,-0.19947416147721483,-0.1046011921741055,-0.019444060372758715,-0.12911749687954988,1.0
